adm2_en,month,NO2,date
Maguindanao del Sur,2021-11,4.398272723862982E-5,2021-11-01T00:00:00
Davao de Oro,2021-12,3.920476035682476E-5,2021-12-01T00:00:00
Davao Occidental,2021-12,4.034290307658855E-5,2021-12-01T00:00:00
Cotabato,2021-12,4.387661939077238E-5,2021-12-01T00:00:00
Maguindanao del Norte,2021-12,4.287233333915472E-5,2021-12-01T00:00:00
Maguindanao del Sur,2021-12,4.369212447121191E-5,2021-12-01T00:00:00
Davao de Oro,2022-01,4.057346911523896E-5,2022-01-01T00:00:00
Davao Occidental,2022-01,3.918523072145946E-5,2022-01-01T00:00:00
Cotabato,2022-01,4.437666345748041E-5,2022-01-01T00:00:00
Maguindanao del Norte,2022-01,4.267014508166218E-5,2022-01-01T00:00:00
Maguindanao del Sur,2022-01,4.4708698902848314E-5,2022-01-01T00:00:00
Davao de Oro,2022-02,3.83670044536492E-5,2022-02-01T00:00:00
Davao Occidental,2022-02,3.8023313479412064E-5,2022-02-01T00:00:00
Cotabato,2022-02,4.134182643544348E-5,2022-02-01T00:00:00
Maguindanao del Norte,2022-02,4.27754984499026E-5,2022-02-01T00:00:00
Maguindanao del Sur,2022-02,4.3321503406392175E-5,2022-02-01T00:00:00
Davao de Oro,2022-03,3.753702266482516E-5,2022-03-01T00:00:00
Davao Occidental,2022-03,3.7612387199413386E-5,2022-03-01T00:00:00
Cotabato,2022-03,4.057623272517124E-5,2022-03-01T00:00:00
Maguindanao del Norte,2022-03,4.039340080520978E-5,2022-03-01T00:00:00
Maguindanao del Sur,2022-03,4.261507878682819E-5,2022-03-01T00:00:00
Davao de Oro,2022-04,4.027333522140643E-5,2022-04-01T00:00:00
Davao Occidental,2022-04,4.083970710288189E-5,2022-04-01T00:00:00
Cotabato,2022-04,4.2357272868888524E-5,2022-04-01T00:00:00
Maguindanao del Norte,2022-04,4.2599275346468265E-5,2022-04-01T00:00:00
Maguindanao del Sur,2022-04,4.4527524421621934E-5,2022-04-01T00:00:00
Davao de Oro,2022-05,4.2225782827601255E-5,2022-05-01T00:00:00
Davao Occidental,2022-05,4.2389403001582176E-5,2022-05-01T00:00:00
Cotabato,2022-05,4.633595234241672E-5,2022-05-01T00:00:00
Maguindanao del Norte,2022-05,4.5233804403891714E-5,2022-05-01T00:00:00
Maguindanao del Sur,2022-05,4.781919980662692E-5,2022-05-01T00:00:00
Davao de Oro,2022-06,4.029005766761798E-5,2022-06-01T00:00:00
Davao Occidental,2022-06,3.9063197993841735E-5,2022-06-01T00:00:00
Cotabato,2022-06,4.320422649954686E-5,2022-06-01T00:00:00
Maguindanao del Norte,2022-06,4.248008182291782E-5,2022-06-01T00:00:00
Maguindanao del Sur,2022-06,4.4137636471858644E-5,2022-06-01T00:00:00
Davao de Oro,2022-07,4.114125242173793E-5,2022-07-01T00:00:00
Davao Occidental,2022-07,3.972936711008587E-5,2022-07-01T00:00:00
Cotabato,2022-07,4.334749408329946E-5,2022-07-01T00:00:00
Maguindanao del Norte,2022-07,4.213292759412548E-5,2022-07-01T00:00:00
Maguindanao del Sur,2022-07,4.358050135265704E-5,2022-07-01T00:00:00
Davao de Oro,2022-08,4.189688325389422E-5,2022-08-01T00:00:00
Davao Occidental,2022-08,4.019422105695157E-5,2022-08-01T00:00:00
Cotabato,2022-08,4.481179586924056E-5,2022-08-01T00:00:00
Maguindanao del Norte,2022-08,4.4134337667234934E-5,2022-08-01T00:00:00
Maguindanao del Sur,2022-08,4.581469151315372E-5,2022-08-01T00:00:00
Davao de Oro,2022-09,4.2759199931325044E-5,2022-09-01T00:00:00
Davao Occidental,2022-09,4.1109187750641486E-5,2022-09-01T00:00:00
Cotabato,2022-09,4.487447145643305E-5,2022-09-01T00:00:00
Maguindanao del Norte,2022-09,4.392033850091839E-5,2022-09-01T00:00:00
Maguindanao del Sur,2022-09,4.7385797644395834E-5,2022-09-01T00:00:00
Davao de Oro,2022-10,4.342236373851363E-5,2022-10-01T00:00:00
Davao Occidental,2022-10,4.093741948121317E-5,2022-10-01T00:00:00
Cotabato,2022-10,4.391955724919893E-5,2022-10-01T00:00:00
Maguindanao del Norte,2022-10,4.417592247001409E-5,2022-10-01T00:00:00
Maguindanao del Sur,2022-10,4.4486069522587523E-5,2022-10-01T00:00:00
Davao de Oro,2022-11,4.14972118382746E-5,2022-11-01T00:00:00
Davao Occidental,2022-11,3.833228330084448E-5,2022-11-01T00:00:00
Cotabato,2022-11,4.340704748570954E-5,2022-11-01T00:00:00
Maguindanao del Norte,2022-11,4.283798136139971E-5,2022-11-01T00:00:00
Maguindanao del Sur,2022-11,4.4220151809780153E-5,2022-11-01T00:00:00
Davao de Oro,2022-12,4.0254747178688974E-5,2022-12-01T00:00:00
Davao Occidental,2022-12,3.624201264533039E-5,2022-12-01T00:00:00
Cotabato,2022-12,3.9911704144531424E-5,2022-12-01T00:00:00
Maguindanao del Norte,2022-12,3.995003325820507E-5,2022-12-01T00:00:00
Maguindanao del Sur,2022-12,4.020717746332264E-5,2022-12-01T00:00:00
Davao de Oro,2023-01,3.612653369529261E-5,2023-01-01T00:00:00
Davao Occidental,2023-01,3.410622430918001E-5,2023-01-01T00:00:00
Cotabato,2023-01,3.820401853380533E-5,2023-01-01T00:00:00
Maguindanao del Norte,2023-01,3.780194862865404E-5,2023-01-01T00:00:00
Maguindanao del Sur,2023-01,3.830151769752758E-5,2023-01-01T00:00:00
Davao de Oro,2023-02,3.307262709179198E-5,2023-02-01T00:00:00
Davao Occidental,2023-02,2.9324399740716384E-5,2023-02-01T00:00:00
Cotabato,2023-02,3.5452648169436105E-5,2023-02-01T00:00:00
Maguindanao del Norte,2023-02,3.4924127997916546E-5,2023-02-01T00:00:00
Maguindanao del Sur,2023-02,3.489335837431814E-5,2023-02-01T00:00:00
Davao de Oro,2023-03,3.588084342450777E-5,2023-03-01T00:00:00
Davao Occidental,2023-03,3.4019283286783836E-5,2023-03-01T00:00:00
Cotabato,2023-03,3.969430455269755E-5,2023-03-01T00:00:00
Maguindanao del Norte,2023-03,4.005492956351369E-5,2023-03-01T00:00:00
Maguindanao del Sur,2023-03,4.112339440787875E-5,2023-03-01T00:00:00
Davao de Oro,2023-04,3.961408054298782E-5,2023-04-01T00:00:00
Davao Occidental,2023-04,3.925577445433333E-5,2023-04-01T00:00:00
Cotabato,2023-04,4.223902642071867E-5,2023-04-01T00:00:00
Maguindanao del Norte,2023-04,4.2479503950315774E-5,2023-04-01T00:00:00
Maguindanao del Sur,2023-04,4.444268512977847E-5,2023-04-01T00:00:00
Davao de Oro,2023-05,4.5656945411421775E-5,2023-05-01T00:00:00
Davao Occidental,2023-05,4.295326096028959E-5,2023-05-01T00:00:00
Cotabato,2023-05,4.686169578118616E-5,2023-05-01T00:00:00
Maguindanao del Norte,2023-05,4.613643203075525E-5,2023-05-01T00:00:00
Maguindanao del Sur,2023-05,4.805836281178033E-5,2023-05-01T00:00:00
Davao de Oro,2023-06,4.766735305420169E-5,2023-06-01T00:00:00
Davao Occidental,2023-06,4.4897497422870045E-5,2023-06-01T00:00:00
Cotabato,2023-06,4.718901260510337E-5,2023-06-01T00:00:00
Maguindanao del Norte,2023-06,4.624758476842433E-5,2023-06-01T00:00:00
Maguindanao del Sur,2023-06,4.691473781815544E-5,2023-06-01T00:00:00
Davao de Oro,2023-07,4.596555950452024E-5,2023-07-01T00:00:00
Davao Occidental,2023-07,4.1092156787560215E-5,2023-07-01T00:00:00
Cotabato,2023-07,4.580868004790843E-5,2023-07-01T00:00:00
Maguindanao del Norte,2023-07,4.528218158610186E-5,2023-07-01T00:00:00
Maguindanao del Sur,2023-07,4.5877668493765634E-5,2023-07-01T00:00:00
Davao de Oro,2023-08,4.350245638731844E-5,2023-08-01T00:00:00
Davao Occidental,2023-08,3.886879671038746E-5,2023-08-01T00:00:00
Cotabato,2023-08,4.173308669752086E-5,2023-08-01T00:00:00
Maguindanao del Norte,2023-08,4.129872126898872E-5,2023-08-01T00:00:00
Maguindanao del Sur,2023-08,4.172786673918514E-5,2023-08-01T00:00:00
Davao de Oro,2023-09,4.29183068091836E-5,2023-09-01T00:00:00
Davao Occidental,2023-09,3.9846306088350356E-5,2023-09-01T00:00:00
Cotabato,2023-09,4.337655951247968E-5,2023-09-01T00:00:00
Maguindanao del Norte,2023-09,4.201338544636058E-5,2023-09-01T00:00:00
Maguindanao del Sur,2023-09,4.440421610365644E-5,2023-09-01T00:00:00
Davao de Oro,2023-10,4.004712895089556E-5,2023-10-01T00:00:00
Davao Occidental,2023-10,3.956676508909971E-5,2023-10-01T00:00:00
Cotabato,2023-10,4.231029700260572E-5,2023-10-01T00:00:00
Maguindanao del Norte,2023-10,4.283781754254244E-5,2023-10-01T00:00:00
Maguindanao del Sur,2023-10,4.475067758721068E-5,2023-10-01T00:00:00
Davao de Oro,2023-11,3.8043173283257746E-5,2023-11-01T00:00:00
Davao Occidental,2023-11,3.73436949440686E-5,2023-11-01T00:00:00
Cotabato,2023-11,4.201872969426527E-5,2023-11-01T00:00:00
Maguindanao del Norte,2023-11,4.2283353778571774E-5,2023-11-01T00:00:00
Maguindanao del Sur,2023-11,4.336415675708806E-5,2023-11-01T00:00:00
Davao de Oro,2023-12,3.424476725848375E-5,2023-12-01T00:00:00
Davao Occidental,2023-12,3.3712258981872946E-5,2023-12-01T00:00:00
Cotabato,2023-12,3.787334015255337E-5,2023-12-01T00:00:00
Maguindanao del Norte,2023-12,3.910462595960189E-5,2023-12-01T00:00:00
Maguindanao del Sur,2023-12,3.912338152107009E-5,2023-12-01T00:00:00
Davao de Oro,2024-01,3.313121388517882E-5,2024-01-01T00:00:00
Davao Occidental,2024-01,3.269252056925443E-5,2024-01-01T00:00:00
Cotabato,2024-01,3.627470319942657E-5,2024-01-01T00:00:00
Maguindanao del Norte,2024-01,3.617297359455164E-5,2024-01-01T00:00:00
Maguindanao del Sur,2024-01,3.6881657585993465E-5,2024-01-01T00:00:00
Davao de Oro,2024-02,3.467881484857366E-5,2024-02-01T00:00:00
Davao Occidental,2024-02,3.489287029551528E-5,2024-02-01T00:00:00
Cotabato,2024-02,3.866964209496939E-5,2024-02-01T00:00:00
Maguindanao del Norte,2024-02,3.954936282714349E-5,2024-02-01T00:00:00
Maguindanao del Sur,2024-02,3.976429251417739E-5,2024-02-01T00:00:00
Davao de Oro,2024-03,3.619316302826871E-5,2024-03-01T00:00:00
Davao Occidental,2024-03,3.6855930773656424E-5,2024-03-01T00:00:00
Cotabato,2024-03,4.1521437930946834E-5,2024-03-01T00:00:00
Maguindanao del Norte,2024-03,4.392796697859699E-5,2024-03-01T00:00:00
Maguindanao del Sur,2024-03,4.474698209596302E-5,2024-03-01T00:00:00
Davao de Oro,2024-04,4.0056075609016156E-5,2024-04-01T00:00:00
Davao Occidental,2024-04,3.930187203229463E-5,2024-04-01T00:00:00
Cotabato,2024-04,4.6512522765454377E-5,2024-04-01T00:00:00
Maguindanao del Norte,2024-04,4.954709764977825E-5,2024-04-01T00:00:00
Maguindanao del Sur,2024-04,4.9946326183833564E-5,2024-04-01T00:00:00
Davao de Oro,2024-05,4.2698068214140015E-5,2024-05-01T00:00:00
Davao Occidental,2024-05,4.136312626321255E-5,2024-05-01T00:00:00
Cotabato,2024-05,4.809578745545098E-5,2024-05-01T00:00:00
Maguindanao del Norte,2024-05,4.729791199117017E-5,2024-05-01T00:00:00
Maguindanao del Sur,2024-05,5.074755583840623E-5,2024-05-01T00:00:00
Davao de Oro,2024-06,4.2661044805665306E-5,2024-06-01T00:00:00
Davao Occidental,2024-06,3.953059110720727E-5,2024-06-01T00:00:00
Cotabato,2024-06,4.5975080962726506E-5,2024-06-01T00:00:00
Maguindanao del Norte,2024-06,4.394174883220982E-5,2024-06-01T00:00:00
Maguindanao del Sur,2024-06,4.670407683823449E-5,2024-06-01T00:00:00
Davao de Oro,2024-07,4.0638389325814764E-5,2024-07-01T00:00:00
Davao Occidental,2024-07,3.899604016005941E-5,2024-07-01T00:00:00
Cotabato,2024-07,4.1316260307916656E-5,2024-07-01T00:00:00
Maguindanao del Norte,2024-07,3.992149270012259E-5,2024-07-01T00:00:00
Maguindanao del Sur,2024-07,4.2100392070736066E-5,2024-07-01T00:00:00
Davao de Oro,2024-08,3.78645648590735E-5,2024-08-01T00:00:00
Davao Occidental,2024-08,3.5404845984738705E-5,2024-08-01T00:00:00
Cotabato,2024-08,3.93440920522849E-5,2024-08-01T00:00:00
Maguindanao del Norte,2024-08,3.801434646103491E-5,2024-08-01T00:00:00
Maguindanao del Sur,2024-08,4.0140824401988846E-5,2024-08-01T00:00:00
Davao de Oro,2024-09,3.8910994792028475E-5,2024-09-01T00:00:00
Davao Occidental,2024-09,3.677131071105194E-5,2024-09-01T00:00:00
Cotabato,2024-09,3.8814567156825625E-5,2024-09-01T00:00:00
Maguindanao del Norte,2024-09,3.809452214659046E-5,2024-09-01T00:00:00
Maguindanao del Sur,2024-09,3.981423374057978E-5,2024-09-01T00:00:00
Davao de Oro,2024-10,4.067646693200718E-5,2024-10-01T00:00:00
Davao Occidental,2024-10,3.674235568804931E-5,2024-10-01T00:00:00
Cotabato,2024-10,4.051951708283222E-5,2024-10-01T00:00:00
Maguindanao del Norte,2024-10,3.9526359477863953E-5,2024-10-01T00:00:00
Maguindanao del Sur,2024-10,4.118776311850966E-5,2024-10-01T00:00:00
Davao de Oro,2024-11,3.698072749172716E-5,2024-11-01T00:00:00
Davao Occidental,2024-11,3.4220016657519617E-5,2024-11-01T00:00:00
Cotabato,2024-11,3.981028901017851E-5,2024-11-01T00:00:00
Maguindanao del Norte,2024-11,3.930125599394783E-5,2024-11-01T00:00:00
Maguindanao del Sur,2024-11,4.016004790537459E-5,2024-11-01T00:00:00
Davao de Oro,2024-12,3.5229109249769344E-5,2024-12-01T00:00:00
Davao Occidental,2024-12,3.143943589747884E-5,2024-12-01T00:00:00
Cotabato,2024-12,3.552599393368888E-5,2024-12-01T00:00:00
Maguindanao del Norte,2024-12,3.47174044926576E-5,2024-12-01T00:00:00
Maguindanao del Sur,2024-12,3.523211936748591E-5,2024-12-01T00:00:00
Davao de Oro,2025-01,3.2791020448509996E-5,2025-01-01T00:00:00
Davao Occidental,2025-01,3.0312349757584156E-5,2025-01-01T00:00:00
Cotabato,2025-01,3.511305897053335E-5,2025-01-01T00:00:00
Maguindanao del Norte,2025-01,3.5337408802765325E-5,2025-01-01T00:00:00
Maguindanao del Sur,2025-01,3.586656231636238E-5,2025-01-01T00:00:00
Davao de Oro,2025-02,3.147465158723333E-5,2025-02-01T00:00:00
Davao Occidental,2025-02,2.959799514388481E-5,2025-02-01T00:00:00
Cotabato,2025-02,3.394431199294545E-5,2025-02-01T00:00:00
Maguindanao del Norte,2025-02,3.291386380067271E-5,2025-02-01T00:00:00
Maguindanao del Sur,2025-02,3.334266305305749E-5,2025-02-01T00:00:00
Davao de Oro,2025-03,3.222582789149164E-5,2025-03-01T00:00:00
Davao Occidental,2025-03,2.9470738866658602E-5,2025-03-01T00:00:00
Cotabato,2025-03,3.465327179073447E-5,2025-03-01T00:00:00
Maguindanao del Norte,2025-03,3.446175058424281E-5,2025-03-01T00:00:00
Maguindanao del Sur,2025-03,3.5058391368989424E-5,2025-03-01T00:00:00
Davao de Oro,2025-04,3.305860532079695E-5,2025-04-01T00:00:00
Davao Occidental,2025-04,3.234823688746533E-5,2025-04-01T00:00:00
Cotabato,2025-04,3.8012209123778774E-5,2025-04-01T00:00:00
Maguindanao del Norte,2025-04,3.728544229326552E-5,2025-04-01T00:00:00
Maguindanao del Sur,2025-04,3.9139252891581346E-5,2025-04-01T00:00:00
Davao de Oro,2025-05,3.7565686071902676E-5,2025-05-01T00:00:00
Davao Occidental,2025-05,3.502734226657718E-5,2025-05-01T00:00:00
Cotabato,2025-05,4.1192812382274964E-5,2025-05-01T00:00:00
Maguindanao del Norte,2025-05,4.036419450047489E-5,2025-05-01T00:00:00
Maguindanao del Sur,2025-05,4.1226542834548926E-5,2025-05-01T00:00:00
